Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
United Kingdom,Apr 24-26,9,Michael,Lionsgate,"$15,616,000"
Japan,Apr 25-26,13,The Super Mario Galaxy Movie,Universal Pictures International (UPI),"$10,047,748"
Mexico,Apr 24-26,10,Michael,Lionsgate,"$9,713,000"
Brazil,Apr 23-26,10,Michael,Lionsgate,"$8,106,000"
Italy,Apr 23-26,27,Michael,Lionsgate,"$6,692,473"
Germany,Apr 23-26,24,Michael,Lionsgate,"$6,035,020"
Australia,Apr 23-26,174,Michael,Vansan Movies,"$5,703,508"
China,Apr 24-26,7,Michael,-,"$4,775,000"
India,Apr 24-26,9,Michael,-,"$2,060,000"
Argentina,Apr 23-26,11,Michael,-,"$1,725,000"
United Arab Emirates,Apr 23-26,39,Michael,Universal Pictures International (UPI),"$1,696,421"
Russia/CIS,Apr 23-26,135,Angels of War,Central Partnership,"$1,450,922"
Saudi Arabia,Apr 23-26,2,Michael,-,"$1,418,000"
Norway,Apr 24-26,25,Michael,Paramount Pictures International,"$941,456"
Hungary,Apr 23-26,50,Michael,Universal Pictures International (UPI),"$615,874"
New Zealand,Apr 23-26,90,Michael,Universal Pictures International (UPI),"$598,189"
Czech Republic,Apr 23-26,23,Michael,Paramount Pictures International,"$581,207"
Portugal,Apr 23-26,43,Michael,Cinemundo,"$558,904"
Ukraine,Apr 23-26,5,Michael,-,"$508,000"
Netherlands,Apr 23-26,9,Shelter,The Searchers,"$412,600"
Spain,Apr 24-26,7,Shelter,Black Bear,"$387,576"
Colombia,Apr 23-26,8,Shelter,Diamond Films,"$298,820"
Türkiye,Apr 24-26,57,Michael,Paramount Pictures International,"$286,168"
Poland,Apr 24-26,8,The Drama,Vertical Entertainment,"$285,397"
Taiwan,Apr 24-26,9,Hoppers,Walt Disney Pictures,"$246,000"
Switzerland (German),Apr 23-26,1,Shelter,Black Bear,"$226,000"
Kuwait,Apr 23-26,1,Shelter,Phars Film,"$224,924"
Israel,Apr 23-26,4,Shelter,United King Films,"$211,260"
Austria,Apr 23-26,8,Shelter,TOBIS Film,"$202,792"
Bulgaria,Apr 24-26,73,Michael,Walt Disney Studios Motion Pictures,"$198,985"
Peru,Apr 23-26,4,Shelter,Diamond Films,"$198,621"
Greece,Apr 23-26,5,Shelter,Spentzos Film,"$180,832"
Hong Kong,Apr 23-26,7,Hoppers,Walt Disney Pictures,"$155,000"
Lithuania,Apr 24-26,51,Michael,Universal Pictures International (UPI),"$151,431"
Croatia,Apr 23-26,21,Michael,Universal Pictures International (UPI),"$118,652"
Romania,Apr 24-26,3,Shelter,Prorom Media-Trade,"$98,609"
Qatar,Apr 23-26,1,Shelter,Phars Film,"$89,267"
Slovenia,Apr 23-26,21,Michael,Universal Pictures International (UPI),"$85,133"
Sweden,Apr 24-26,7,Hoppers,Walt Disney Pictures,"$75,000"
Chile,Apr 23-26,8,The Drama,-,"$74,141"
South Korea,Apr 24-26,6,Shelter,Galaxy Studio,"$71,748"
Iceland,Apr 24-26,23,Michael,Universal Pictures International (UPI),"$68,206"
Denmark,Apr 23-26,7,Shelter,Scanbox Entertainment,"$64,000"
Malaysia,Apr 23-26,8,Shelter,Encore Films,"$56,584"
South Africa,Apr 24-26,4,Shelter,-,"$54,299"
Singapore,Apr 23-26,8,Shelter,Shaw Organisation,"$51,000"
Thailand,Apr 23-26,8,The Drama,-,"$49,174"
Ecuador,Apr 24-26,2,Shelter,Diamond Films,"$48,414"
Finland,Apr 24-26,7,The Drama,Nordisk Film,"$42,817"
Vietnam,Apr 24-26,2,Shelter,Encore Films,"$36,167"
Panama,Apr 23-26,4,Shelter,Diamond Films,"$34,000"
Lebanon,Apr 23-26,1,Shelter,Phars Film,"$29,732"
West Indies,Apr 23-26,1,Shelter,-,"$27,844"
Costa Rica,Apr 23-26,2,The Drama,-,"$25,310"
Estonia,Apr 24-26,2,Shelter,ACME,"$25,260"
Slovakia,Apr 23-26,4,The Drama,Forum Film,"$21,208"
Venezuela,Apr 24-26,2,Shelter,Black Bear,"$20,652"
Dominican Republic,Apr 23-26,1,The Drama,-,"$20,347"
Bolivia,Apr 23-26,3,Shelter,Diamond Films,"$17,630"
Latvia,Apr 24-26,2,The Drama,-,"$15,337"
Guatemala,Apr 23-26,2,Shelter,Diamond Films,"$14,748"
Uruguay,Apr 23-26,3,The Drama,-,"$14,744"
Serbia and Montenegro,Apr 23-26,2,The Drama,Blitz,"$12,201"
Honduras,Apr 23-26,3,Shelter,Diamond Films,"$8,836"
El Salvador,Apr 23-26,2,Shelter,Diamond Films,"$7,365"
Paraguay,Apr 24-26,3,Shelter,Diamond Films,"$4,900"
Nicaragua,Apr 23-26,1,The Drama,-,"$2,986"
France,Apr 22-26,35,Michael,Universal Pictures International (UPI),"$9,772,960"
Indonesia,Apr 22-26,10,Shelter,PT. Prima Cinema Multimedia,"$277,200"
Philippines,Apr 22-26,8,Shelter,Pioneer,"$107,200"
