movie_title,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Dangerous Game,R,Drama,Abel Ferrara,"Abel Ferrara, Nicholas St. John","Harvey Keitel, Madonna, James Russo, Nancy Ferrara, Reilly Murphy, Victor Argo, Leonard Thomas, Christina Fulton, Heather Bracken, Glenn Plummer, Lori Eastside, John Snyder, Adina Winston, Dylan Hundley, Julie Pop, Anthony Redman, Randall Sabusawa, Randy Sabusawa, Jesse Long, Bill Pope, Richard Belzer, Martin Schaer, Annie McEnroe, Sammy Jack Pressman, Hiram Ortiz, Niki Munroe, Juliette Hohnen, Lili Barsha, Robyn B. Ashley, Noga Isackson, Mindy Eshelman, Linda Murphy, Marta Bukowski, Jim Fitzgerald, Steven Albert",1993-01-01,2005-07-26,107,MGM Home Entertainment,Rotten,31,16,44,2560
4:44 Last Day on Earth,R,"Drama, Science Fiction & Fantasy",Abel Ferrara,Abel Ferrara,"Willem Dafoe, Shanyn Leigh, Natasha Lyonne, Paul Hipp, Dierdra McDowell, Triana Jackson, Trung Nguyen, Anita Pallenberg, Jose Solano, Judith Salazar, Jimmy Valentino, Paz de la Huerta, Pat Kiernan",2012-03-23,2012-07-17,85,IFC Films,Rotten,47,30,19,1716
Bad Lieutenant,R,"Drama, Mystery & Suspense",Abel Ferrara,"Victor Argo, Paul Calderon, Abel Ferrara, Zoë Lund","Harvey Keitel, Frankie Thorn, Zoë Lund, Anthony Ruggiero, Victor Argo, Paul Calderon, Leonard Thomas, Robin Burrows, Victoria Bastel, Paul Hipp, Brian McElroy, Frankie Acciario, Peggy Gormley, Stella Keitel, John Steven Jones, Vincent Laresca, G. Elvis Phillips, Shawn McLean, Stephen Chen, Frank Acciarto, Fernando Vélez, Joseph Michael Cruz, Frank Adonis, Lambert Moss, Nicholas Decegli, Larry Mullane, Bo Dietl, Nicholas de Cegli, Gene Canfield, Heather Bracken, John Clohessy, Eddie Daniels, Bob Murphy, Bianca Bakiia, Penelope Allen, Ed Kovens, Jamie Sanchez, Minnie Gentry, Mike Fella, Mike Ciravolo, Iraida Polanco, John Cloghessy, Chris 'Mad Dog' Russo, Warner Fusselle, Zoe Tamerlis, Jaime Sánchez, Paul Calderone",1992-11-20,2000-02-15,90,Aries Films,Certified Fresh,77,47,73,16120
Body Snatchers,R,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Abel Ferrara,"Stuart Gordon, Larry Cohen, Nicholas St. John, Dennis Paoli","Gabrielle Anwar, Terry Kinney, Billy Wirth, Meg Tilly, Forest Whitaker, Christine Elise, R. Lee Ermey, Reilly Murphy, Kathleen Doyle, G. Elvis Phillips, Ferne Cassel, Stanley Small, Tonea Stewart, Keith Smith, Winston E. Grant, Phil Neilson, Michael Cohen (II), Timothy P. Brown, Jennifer Tilly, Thurman L. Combs, Allen Perada, Rick Kangrga, Sylvia Small, Adrian Unveragh, Johnny L. Smith, Candy Orsini, Marty Lyons, Kimberly L. Cole, James P. Monoghan, Craig Lockhart, Darien Taylor",1993-01-01,2001-08-21,87,Warner Home Video,Fresh,71,28,38,13790
Cat Chaser,R,"Action & Adventure, Mystery & Suspense",Abel Ferrara,"Alan Sharp, Elmore Leonard, James Borrelli","Peter Weller, Kelly McGillis, Charles Durning, Frederic Forrest, Tomás Milian, Juan Fernández, Kelly Jo Minter, Phil Leeds, Tony Bolano, Adrianne Sachs, Robert Escobar, Maria M. Ruperto, Diane Dimeo, Vivian Addison, Victor Rivers, Teresa M. Rojas, Brooke Becker, Fara Schiller, Guido Inguanzo, Pedro Telémaco, Carlos Ruiz, Rosita Sustache, Teresa Rojas, Michael Weller, Bilal H. El-Amin, Alexis Arguello, Pedro J. Pelaez, Joseph Paris, Mary-Robin Redd, Anthony Correa",1989-04-01,2003-11-18,97,Davis Panzer,Rotten,40,5,16,683
Chelsea on the Rocks,R,"Documentary, Special Interest",Abel Ferrara,"David Linter, Abel Ferrara, Christ Zois","Sherry Cosovic, Dennis Hopper, Gaby Hoffmann, Vito Acconci, Jamie Burke, Ethan Hawke, William S. Burroughs, Grace Jones, Ira Cohen, The Grateful Dead, Quentin Crisp, Walter Cronkite, Robert Crumb, Giancarlo Esposito, Bijou Phillips, Andy Warhol, Abel Ferrara, Sid Vicious, Milos Forman, Nancy Spungen, Jerry Garcia, Janis Joplin, Shanyn Leigh, Christy Scott Cashman, R. Crumb",2009-10-16,2010-11-09,84,Aliquot Films,Fresh,71,28,44,792
Fear City,R,"Action & Adventure, Drama, Mystery & Suspense",Abel Ferrara,Nicholas St. John,"Tom Berenger, Billy Dee Williams, Jack Scalia, Melanie Griffith, Rossano Brazzi, Rae Dawn Chong, Michael V. Gazzo, Joe Santos, Jan Murray, Ola Ray, Janet Julian, Pat Banta, Daniel Faraldo, Sidney Filson, Linda Lee, Maria Conchita Alonso, Nina Jones, John Foster, Daryle Ann Lindley, Emilia Lesniak, Frank Roznio, Juan Fernández, Jim Boeke, Vinny Argiro, Emilia Crow, Carl Strano, Ben Kronen, Madison Mason, Frank Ronzio, Bill Henderson, Victor Rivers, Joe Palese, Joe Shea, Bob Yothers, John Roselius, Tracy Griffith, Lori Eastside, Barbara Andrews, Michael Joy, Peter Mele, Robert Miano, Brent Jennings, William Kennedy, Peter Gumeny, Justin Derosa, Kendall Carly Browne, Michael Vincente Gazzo, Frank Sivero",1984-01-01,2000-11-28,96,HBO Video,Fresh,67,9,32,1620
King of New York,R,"Action & Adventure, Drama",Abel Ferrara,Nicholas St. John,"Christopher Walken, David Caruso, Laurence Fishburne, Victor Argo, Wesley Snipes, Janet Julian, Joey Chin, Giancarlo Esposito, Paul Calderon, Steve Buscemi, Theresa Randle, Leonard Lee Thomas, Leonard Thomas, Roger Guenveur Smith, Carrie Nygren, Freddie Jackson, Sari Chang, Ariane Koizumi, Vanessa Angel, Phoebe Legere (II), Pete Hamill, Gerard Murphy, Randall Sabusawa, Ernest Abuba, Frank Adonis, Erica Gimpel, Frank Gio, Jack Goode Jr., Michael Guess, Nancy Hunter, Robert LaSardo, Gary Landon Mills, Harold Perrineau, Peter Richardson, Wendell Sweda",1990-09-28,2000-08-15,106,Live Home Video,Fresh,71,24,77,21142
Ms. 45,R,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense",Abel Ferrara,Nicholas St. John,"Zoe Tamerlis, Zoe Tamarlis, Steve Singer, Jack Thibeau, Peter Yellen, Helen McGara, Zoë Lund, Nike Zachmonoglou, Darlene Stuto, Editta Sherman, Albert Sinkys, Abel Ferrara, Vincent Gruppi, Bogey Mauser, S. Edward Singer, Stanley Timms, Faith Peters, Lawrence Zavaglia, Alex Jachino, Jane Kennedy, Wayne Caro, Mariana Tripaldi, Scott Covert, Karen O'Shea, The Kog, Cindy Green, Nancy Ulrich, Eddie Sanchez, Larry Chua, Omar Patino, Robert Allen, Daniel Goodine, Michael R. Chin, Gerri Igarashi, Edward Eisele, Evelyne Smith, Patrick Loughran, Eileen Trotta, Bobby Weismann, Alvin Moore, Nicholas St. John, Steve Daskaiwisz, Paul Varni, John Scarangella, Aris Sakellariois, Ben Falk, Michael Minaro, Robert North, Robert L. Fish, Harry Maurer, Beth Ann Lonergan",2013-12-13,2000-04-25,84,Rochelle Films,Fresh,88,32,72,4507
R Xmas,R,"Action & Adventure, Drama, Mystery & Suspense",Abel Ferrara,Abel Ferrara,"Drea de Matteo, Lillo Brancato Jr., Ice-T, Victor Argo, Naomi Morales, Lisa Valens, Frank Cuervo, Nelson Vasquez, Denia Brache, Gloria Irizarry, Andrew Fiscella, Thomas Murray, Edwin Martinez, Janis Corsair, Anne Ackerman, John R. Tramatola III, Meredith Ostrom, Dan Sweeney, Andrew Lasky, Bersalde Vega, James R. Bliz, Raymond Ultarte, Luis Santos, Begonia Plaza, Orran Farmer, Jamal Redrum Simmons, Oscar S. Tevez, Rosa Nino, Clarence Dorsey, Tito Román Rivera, Javier Núñez, Jay ""Mad Dog"" Michaels, Anthony Ortiz, Benny Nieves, Victor Pagan, Yolanda Nieto, Louise G. Colón, Petra Quinones, Pepe Castillo, Antoine Pagan, Oro Solido, Raul Acosta, Anthony Rodriquez, Jarol Ceralios, Juan de la Cruz, Jesus Martinez Jr., Felix Taveras, Amilcar Torres, Idelfonso Gutierrez, Fabio Lovera, Ramel De La Cruz, Jose 'Pepe' Castillo",2001-10-05,2002-11-19,83,Pathfinder Pictures,Fresh,65,26,43,354
