movie_title,movie_info,critics_consensus,rating,genre,directors,writers,cast,in_theaters_date,on_streaming_date,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_rating,audience_count
Cleopatra,"In 1963, this colossal and opulent $60 million spectacular was epic in every sense of the word -- an epic investment, an epic in the annals of Hollywood gossip, and, ultimately, an epic flop that nearly dragged 20th Century Fox down the Nile along with Cleopatra's barge. Handsomely mounted by Joseph L. Mankiewicz, who replaced Rouben Mamoulian as director after six days of shooting), the drama follows the eighteen tumultuous years that led to the founding of the Roman Empire. Cleopatra (Elizabeth Taylor) meets up with Julius Caesar (Rex Harrison) and plans to lure Caesar to her boudoir in order to forge an alliance with Rome so that she may hold on to her Egyptian empire. When Caesar is stabbed to death in the Roman Senate, Cleopatra is left without an ally, and Egypt is up for grabs. When Roman general Mark Antony (Richard Burton) comes along, she seduces him in order to make him over into her new protector. But, under the charms of Cleopatra, Mark Antony is reduced from a an awesome and dominating general to a sniveling, drunken wimp. At the Battle of Actium, Mark Antony is defeated and Cleopatra withdraws her troops, dooming Mark Antony and his army. With Egypt in peril, Antony and Cleopatra, the doomed lovers, meet each other for the last time, as the enemy forces close in. ~ Paul Brenner, Rovi","Cleopatra is a lush, ostentatious, endlessly eye-popping epic that sags collapses from a (and how could it not?) four-hour runtime.",G,"Classics, Drama",Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Ranald MacDougall, Sidney Buchman","Elizabeth Taylor, Richard Burton, Rex Harrison, Roddy McDowall, Pamela Brown, George Cole, Hume Cronyn, Cesare Danova, Kenneth Haigh, Andrew Keir, Martin Landau, Robert Stephens, Francesca Annis, Grégoire Aslan, Martin Benson, Herbert Berghof, John Cairney, Isabelle Cooley, Jacqui Chan, Isabel Cooley, John Doucette, Andrew Faulds, Michael Gwynn, Michael Hordern, John Hoyt, Marne Maitland, Carroll O'Connor, Richard O'Sullivan, Gwen Watford, Douglas Wilmer, Marina Berti, John Karlsen, Loris Loddi, Jean Marsh, Gin Mart, Furio Meniconi, Kenneth Nash, Del Russell, John Valva, Marie Devereaux, Finlay Currie, John Alderton, Peter Forster, Jeremy Kemp, Laurence Naismith, Gesa Meiken, Marie Devereux, Michele Bally, Kathy Martin, Maria Badmajev, Maureen Lane, Simon Mizrahi, John Gayford",1963-06-12,2001-04-03,246,20th Century Fox,Fresh,61,36,69,20517
The Day the Earth Stood Still,"All of Washington, D.C., is thrown into a panic when an extraterrestrial spacecraft lands near the White House. Out steps Klaatu (Michael Rennie, in a role intended for Claude Rains), a handsome and soft-spoken interplanetary traveler, whose ""bodyguard"" is Gort (Lock Martin), a huge robot who spews forth laser-like death rays when danger threatens. After being wounded by an overzealous soldier, Klaatu announces that he has a message of the gravest importance for all humankind, which he will deliver only when all the leaders of all nations will agree to meet with him. World politics being what they are in 1951, Klaatu's demands are turned down and he is ordered to remain in the hospital, where his wounds are being tended. Klaatu escapes, taking refuge in a boarding house, where he poses as one ""Mr. Carpenter"" (one of the film's many parallels between Klaatu and Christ). There the benign alien gains the confidence of a lovely widow (Patricia Neal) and her son, Bobby (Billy Gray), neither of whom tumble to his other-worldly origins, and seeks out the gentleman whom Bobby regards as ""the smartest man in the world"" -- an Einstein-like scientist, Dr. Barnhardt (Sam Jaffe). The next day, at precisely 12 o'clock, Klaatu arranges for the world to ""stand still"" -- he shuts down all electrical power in the world, with the exception of essentials like hospitals and planes in flight. Directed by Robert Wise, who edited Citizen Kane (1941) and The Magnificent Ambersons (1942) for director Orson Welles before going on to direct such major 1960s musicals as West Side Story (1961) and The Sound of Music (1965), The Day the Earth Stood Still was based on the story Farewell to the Master by Harry Bates. ~ Hal Erickson, Rovi","Socially minded yet entertaining, The Day the Earth Stood Still imparts its moral of peace and understanding without didacticism.",G,"Classics, Drama, Science Fiction & Fantasy",Robert Wise,Edmund H. North,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe, Billy Gray, Frances Bavier, Lock Martin, Drew Pearson, Frank Conroy, Carleton Young, Bobby Gray, Fay Roope, Edith Evanson, Harry Harvey, Marshall Bradford, Robert Osterloh, Tyler McVey, Stuart Whitman, James Seay, John Brown, Marjorie Crossland, Glenn Hardy, House Peters Jr., Rush Williams, Olan Soule, Gil Herman, James Craven, Harry Lauter, Charles Evans, Harlan Warde, Wheaton Chambers, Elizabeth Flournoy, Dorothy Neumann, George Lynn, Freeman Lusk, John Burton, George Reeves, Harry Harvey Sr., Gabriel Heater, Elmer Davis, H.V. Kaltenborn",1951-01-01,2003-03-04,92,20th Century Fox,Certified Fresh,95,55,87,34226
The King and I,"The King and I, Richard Rodgers and Oscar Hammerstein's 1951 Broadway musical hit, was based on Margaret Landon's book Anna and the King of Siam. Since 20th-Century-Fox had made a film version of the Landon book in 1946, that studio had first dibs on the movie adaptation of The King and I. Deborah Kerr plays English widow Anna Leonowens, who comes to Siam in the 1860s to tutor the many wives and children of the country's progressive King (Yul Brynner, recreating his Broadway role-and winning an Oscar in the process). The culture clash between Anna and the King is but one aspect of their multilayered relationship. Through Anna, the King learns the refineries and responsibilities of ""modern"" western civilization; Anna meanwhile comes to realize how important it is for an Oriental ruler to maintain his pride and to uphold the customs of his people. After a successful evening entertaining foreign dignitaries, Anna and the King celebrate with an energetic dance, but this is cut short by a bitter quarrel over the cruel punishment of the King's new Burmese wife Tuptim (Rita Moreno), who has dared to fall in love with someone else. Despite the many rifts between them, Anna and the monarch come to respect and (to a degree) love one another. When the King dies, Anna agrees to stay on to offer help and advice to the new ruler of Siam, young Prince Chulalongkhorn (Patrick Adiarte). In general, The King and I tends to be somewhat stagey, with the notable exception of the matchless ""Small House of Uncle Thomas"" ballet, which utilizes the Cinemascope 55 format to best advantage (the process also does a nice job of ""handling"" Deborah Kerr's voluminous hoopskirts). Most of the Broadway version's best songs (""Getting to Know You"", ""Whistle a Happy Tune"", ""A Puzzlement"", ""Shall We Dance"" etc.) are retained. None of the omissions are particularly regrettable, save for Anna's solo ""Shall I Tell You What I Think of You?"" This feisty attack on the King's chauvinism was specially written to suit the talents of Gertrude Lawrence, who played Anna in the original production; the song was cut from the film because it made Deborah Kerr seem ""too bitchy"" (Kerr's singing, incidentally, is dubbed for the most part by the ubiquitous Marni Nixon). When all is said and done, the principal attraction of The King and I is Yul Brynner, in the role that made him a star and with which he will forever be identified. ~ Hal Erickson, Rovi",,G,"Classics, Musical & Performing Arts, Romance",Walter Lang,Ernest Lehman,"Yul Brynner, Deborah Kerr, Rita Moreno, Terry Saunders, Martin Benson, Rex Thompson, Carlos Rivas, Patrick Adiarte, Alan Mowbray, Geoffrey Toone, Yuriko, Marion Jim, Robert Banas, Dusty Worrall, Gemze de Lappe, Dennis Bonilla, Michiko Iseri, Charles Irwin, Leonard Strong, Irene James, Fuji, Jadin Wong, Weaver Levy, Jean Wong, William Yip, Eddie Luke, Josephine Smith, Jocelyn New, Thomas Bonilla, Marni Nixon",1956-06-29,1999-04-27,133,20th Century Fox,Fresh,96,25,83,60986
Planet of the Apes,"Originally intended as a project for Blake Edwards, the film version of Pierre Boule's semisatiric sci-fi novel came to the screen in 1968 under the directorial guidance of Franklin J. Schaffner. Charlton Heston is George Taylor, one of several astronauts on a long, long space mission whose spaceship crash-lands on a remote planet, seemingly devoid of intelligent life. Soon the astronaut learns that this planet is ruled by a race of talking, thinking, reasoning apes who hold court over a complex, multilayered civilization. In this topsy-turvy society, the human beings are grunting, inarticulate primates, penned-up like animals. When ape leader Dr. Zaius (Maurice Evans) discovers that the captive Taylor has the power of speech, he reacts in horror and insists that the astronaut be killed. But sympathetic ape scientists Cornelius (Roddy McDowell) and Dr. Zira (Kim Hunter) risk their lives to protect Taylor -- and to discover the secret of their planet's history that Dr. Zaius and his minions guard so jealously. In the end, it is Taylor who stumbles on the truth about the Planet of the Apes: ""Damn you! Damn you! Goddamn you all to hell!"" Scripted by Rod Serling and Michael Wilson (a former blacklistee who previously adapted another Pierre Boule novel, Bridge on the River Kwai), Planet of the Apes has gone on to be an all-time sci-fi (and/or camp) classic. It won a special Academy Award for John Chambers's convincing (and, from all accounts, excruciatingly uncomfortable) simian makeup. It spawned four successful sequels, as well as two TV series, one live-action and one animated. ~ Hal Erickson, Rovi",Planet of the Apes raises thought-provoking questions about our culture without letting social commentary get in the way of the drama and action.,G,"Classics, Science Fiction & Fantasy",Franklin J. Schaffner,"Rod Serling, Michael Wilson","Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daly, Linda Harrison, Robert Gunner, Lou Wagner, Woodrow Parfrey, Jeff Burton, Buck Kartalian, Norman Burton, Wright King, Paul Lambert, Diane Stanley, Harry Monty",1968-04-03,2001-05-01,112,20th Century Fox,Certified Fresh,88,58,87,118954
Anastasia,"The first feature from the 20th Century-Fox animation unit in Phoenix, Arizona, this is the ninth film produced and directed by the Don Bluth/Gary Goldman duo (An American Tail) and the first animated feature to be made in CinemaScope since Disney's Sleeping Beauty (1959). This $50 million animated fantasy retells the story of Anastasia, daughter of Czar Nicholas, beginning with her childhood in 1916 Russia. After Rasputin's curse on the Romanovs, little Anastasia is separated from her grandmother, the Dowager Empress Maria. After growing up in an orphanage, Anastasia emerges as a young woman called Anya. With no clear memory of her youth, Anya encounters entrepreneurs who seek an Anastasia look-alike in hopes of collecting a reward in Paris from the aged Dowager Empress. Despite demonic interference from Rasputin, the three travel to Paris where another problem awaits: the Dowager Empress is now skeptical of the parade of impostors.","Beautiful animation, an affable take on Russian history, and strong voice performances make Anastasia a winning first film from Fox animation studios.",G,"Action & Adventure, Animation, Drama, Kids & Family",Don Bluth,"Susan Gauthier, Bruce Graham, Bob Tzudiker, Noni White, Eric Tuchman","Meg Ryan, John Cusack, Christopher Lloyd, Bernadette Peters, Kirsten Dunst, Angela Lansbury, Liz Callaway, Andrea Martin, Glenn Walker Harris Jr., Debra Mooney, Arthur Malet, Charity James, Lacey Chabert, Jim Cummings, Jonathan Dokuchitz, Hank Azaria, Kelsey Grammer",1997-11-14,1999-11-16,94,20th Century Fox,Certified Fresh,85,54,77,432556
Space Chimps,"When a $5 billion Space Agency probe disappears into an intergalactic wormhole, the agency recruits Ham III, grandson of the first chimpanzee in space, to help retrieve the wayward craft. But Ham is a free-spirited circus performer more interested in zero gravity high jinks than living up to his illustrious heritage. The simian slacker becomes a reluctant hero and learns the true meaning of courage as he and his crewmates, the plucky Lieutenant Luna and their by-the-book commander, Titan, risk everything in an effort to save the peaceful inhabitants of a distant planet from an evil dictator.",Space Chimps' cheap animation and overabundance of monkey puns feels especially dated in a post-Wall-E world.,G,"Action & Adventure, Animation, Comedy, Kids & Family",Kirk De Micco,"Kirk De Micco, Rob Moreland, Robert Moreland","Andy Samberg, Kenan Thompson, Omid Abtahi, Cheryl Hines, Patrick Warburton, Jeff Daniels, Kristin Chenoweth, Stanley Tucci, Carlos Alazraqui, Zack Shada, Patrick Breen, Jane Lynch, Kath Soucie, Wally Wingert, Jessica Gee, Tom Kenny",2008-07-17,2008-11-24,81,20th Century Fox,Rotten,33,91,33,124295
Alvin and the Chipmunks: Chipwrecked,"The vacationing Chipmunks and Chipettes are turning a luxury cruise liner into their personal playground, until they become 'chipwrecked' on a remote island. As the 'Munks and Chipettes try various schemes to find their way home, they accidentally discover their new turf is not as deserted as it seems. -- (C) Official Site","Lazy, rote, and grating, Chipwrecked is lowest-common-denominator family entertainment that's strictly for the very, very, very young at heart.",G,"Animation, Comedy, Kids & Family",Mike Mitchell,"Glenn Berger, Jonathan Aibel","Jason Lee, Justin Long, Jesse McCartney, Anna Faris, Christina Applegate, Amy Poehler, Alyssa Milano, Alan Tudyk, Luisa D'Oliveira, Tucker Albrizzi, David Cross, Jenny Slate, Michael P. Northey, Sophia Aguiar, Lauren Gottlieb, Tera Perez, Andy Buckley (II), Chad Krowchuk, Nelson Wong, Michael Karman, Amber-Rochelle DeMarco, Marcela Caceres, Natalie Sutcliffe, Ian Harmon, Phyllis Smith, Chad Krowchuck, Matthew Gray Gubler",2011-12-16,2012-03-27,90,20th Century Fox,Rotten,11,81,51,66615
Battle For The Planet Of The Apes,"The fifth and last of the original series of motion pictures based upon author Pierre Boulle's imaginative novel Monkey Planet, this science fiction film was the least-liked by the series' legion of fans. Roddy McDowall returns as Caesar, the rebellious intelligent chimp of the previous film, Conquest of the Planet of the Apes (1972). Caesar led his brethren in a revolution against their human masters earlier, but humanity has since nearly destroyed itself in a nuclear apocalypse, and survivors are second-class citizens within ape society. Now a beneficent ruler of his people, Caesar encourages a fragile, peaceful coexistence with humans, despite the protests of militaristic gorilla leader General Aldo (Claude Akins). When Caesar learns that recordings of his murdered parents may exist in the Forbidden City, he journeys to the irradiated wasteland with the human MacDonald (Austin Stoker) and the wise orangutan Virgil (Paul Williams). Although Caesar finds what he's looking for, he also attracts unwanted attention: mutant humans who still dwell underground in the devastated war zone follow the search party back home, leading to a climactic battle and Aldo's tragic challenge of Caesar's authority. Suffering greatly due to penny-pinching studio 20th Century Fox's low budget, Battle for the Planet of the Apes (1973) is most notable for a cameo by director John Huston as an ape named ""The Lawgiver,"" who appears in a wraparound segment. ~ Karl Williams, Rovi","Bereft of bright ideas and visually shabby, Battle for the Planet of the Apes takes a celebrated franchise and blows it all up -- the maniacs!",G,"Action & Adventure, Classics, Science Fiction & Fantasy",J. Lee Thompson,"John William Corrington, Joyce Corrington, Joyce Hooper Corrington","Roddy McDowall, Natalie Trundy, Claude Akins, Severn Darden, John Huston, Lew Ayres, Paul Williams, Austin Stoker, Bob Porter, Noah Keen, Richard Eastham, Colleen Camp, France Nuyen, Paul Stevens, Michael Stearns, Heather Lowe, Bobby Porter, Michael Sterns, Cal Wilson, Pat Cardi, John Landis, Andrew Knight",1973-01-01,2009-05-05,86,20th Century Fox,Rotten,37,27,31,22018
Beneath The Planet Of The Apes,"Sometime after the events of the first Planet of the Apes, the climax of which is repeated frame for frame at the beginning of this sequel, another set of astronauts arrives on the far-future Earth that is the titular planet. This time it's Brent (James Franciscus) who survives the crash landing and learns that evolved simians have taken over the world, post-apocalypse. After hooking up with Nova (Linda Harrison), the mute, fur bikini-clad beauty who spent the first film being squired by astronaut Taylor (Charlton Heston), Brent confers with Zira (Kim Hunter) and Cornelius (David Watson, giving Roddy McDowall his only break during the five-film series), the ape scientists whose adherence to scientific principles makes them friendly to the possibility of intelligent human life. Something of a military coup has taken place among the apes, who dispatch an army to the desolate ""Forbidden Zone"" where Taylor has coincidentally disappeared. With the apes and the humans both rooting about in the ruins of 20th century civilization, it's only a matter of time before they all find out what happened to the other survivors of the nuclear holocaust. ~ Brian J. Dillard, Rovi","Beneath the Planet of the Apes delivers more action than its predecessor -- unfortunately, at the expense of the social subtext that elevates the franchise's best entries.",G,"Action & Adventure, Science Fiction & Fantasy",Ted Post,"Paul Dehn, Ted Post, Mort Abrahams","James Franciscus, Kim Hunter, Charlton Heston, Maurice Evans, Linda Harrison, Paul Richards, Victor Buono, James Gregory, Jeff Corey, Natalie Trundy, Thomas Gomez, David Watson, Don Pedro Colley, Tod Andrews, Eldon Burke, Gregory Sierra, Lou Wagner",1970-05-26,2000-09-05,108,20th Century Fox,Rotten,38,32,38,23792
Carousel,"Carousel was adapted from the 1945 Rodgers and Hammerstein Broadway musical of the same name--which, in turn, was based on Liliom, a play by Ferenc Molnar. Gordon MacRae stars as carnival barker Billy Bigelow, who much against his will falls in love with Maine factory girl Julie Jordan (Shirley Jones). Billy proves an improvident and unreliable husband, but Julie stands by him. Upon discovering that Julie is pregnant, the unemployed Billy sees an opportunity for some quick money by joining his unsavory pal Jigger (Cameron Mitchell). The scheme goes awry, and Billy dies. Standing before the Pearly Gates, Billy is given a chance to redeem himself by the kindly Starkeeper (Gene Lockhart). He is allowed to return to Earth to try to brighten the life of his unhappy 15-year-old daughter Louise (Susan Luckey). Billy offers Louise a star that he has stolen from the sky; when Louise backs off in fear, Billy slaps her. He feels like a failure until he and his Heavenly Friend (William LeManessa) attend Louise's school graduation ceremony. There the invisible Billy watches as the principal (Gene Lockhart again) inspires Louise (and, by extension, Julie) by assuring her that so long as she has hope in her heart, she'll never walk alone. Frank Sinatra, the film's original Billy Bigelow, dropped out of the production due to laryngitis. ~ Hal Erickson, Rovi",,G,"Drama, Horror, Musical & Performing Arts, Romance",Henry King,"Henry Ephron, Phoebe Ephron, Benjamin Glazer","Gordon MacRae, Shirley Jones, Cameron Mitchell, Barbara Ruick, Claramae Turner, Robert Rounseville, Gene Lockhart, Audrey Christie, Susan Luckey, John Dehner, William LeMassena, Jacques d'Amboise, Frank Tweddell, Richard Deacon, Dee Pollock, Sylvia Stanton, Mary Orozco, Tor Johnson, Harry Johnson, Marion Dempsey, Ed Mundy, Angelo Rossitto",1956-02-16,1999-04-27,128,20th Century Fox,Fresh,83,6,61,9115
